id,Sexe,Fonction, temps travail,Qualite vie
1,0,4,16,4
2,1,3,2,16
3,2,3,16,4
4,1,3,4,4
5,1,2,2,4
6,1,3,16,16
7,1,5,16,4
8,2,2,2,4
9,1,4,99,4
10,1,2,2,4
11,1,3,16,2
12,1,6,2,2
13,1,4,2,2
14,1,2,2,4
15,2,1,99,99
16,2,6,4,4
17,2,1,2,2
18,1,3,4,4
19,2,6,16,16
20,2,1,16,16
21,2,1,4,4
22,1,1,4,4
23,1,1,99,99
24,1,1,4,16
25,1,3,16,16
26,1,3,16,4
27,1,2,2,16
28,0,2,2,2
29,2,1,2,99
30,2,1,2,4
31,1,3,16,16
32,2,1,16,4
33,1,2,4,16
34,1,3,2,16
35,1,3,4,16
36,1,1,99,16
37,1,5,4,2
38,1,3,16,4
39,2,4,2,4
40,2,1,4,4
41,2,1,16,99
42,1,3,4,4
43,2,1,16,99
44,1,2,16,16
45,2,1,4,4
46,1,2,4,16
47,1,2,2,16
48,1,3,4,16
49,2,4,8,16
50,2,1,2,2
51,1,1,8,16
52,1,4,16,4
53,2,3,2,4
54,1,1,2,16
55,2,1,16,4
56,2,1,2,4
57,2,2,2,4
58,2,2,2,2
59,0,3,16,16
60,2,1,4,16
61,1,2,16,16
62,2,1,2,2
63,1,3,16,4
64,1,3,2,4
65,2,1,16,2
66,2,1,2,16
67,2,3,16,16
68,2,1,2,99
69,2,1,4,16
70,1,2,16,4
71,1,1,2,4
72,1,4,16,4
73,2,1,2,2
74,2,1,2,2
75,1,4,16,4
76,1,3,16,4
77,0,3,2,99
78,0,0,99,99
79,1,1,16,16
80,2,1,2,16
81,0,0,99,99
82,1,5,16,2
83,1,1,2,16
84,2,1,99,99
85,1,3,2,4
86,1,2,2,4
87,0,3,16,4
88,2,4,4,4
89,1,7,16,16
90,1,4,16,16
91,2,1,99,99
92,1,3,8,4
93,0,3,16,16
94,2,3,4,16
95,1,6,2,4
96,2,6,4,4
97,1,6,16,16
98,1,2,2,4
99,2,3,4,16
100,2,3,16,2
101,2,7,99,99
102,2,1,16,4
103,2,1,99,16
104,2,1,2,16
105,1,2,4,4
106,2,4,2,2
107,1,3,4,2
108,1,3,16,4
109,1,2,2,4
110,1,4,16,4
111,2,2,2,4
112,1,3,2,2
113,1,4,16,4
114,1,3,2,16
115,1,3,16,16
116,0,2,16,4
117,1,5,16,4
118,0,0,99,99
119,1,2,99,16
120,0,7,99,99
121,1,4,2,16
122,0,4,2,2
123,2,1,4,16
124,0,7,16,4
125,1,3,2,16
126,2,1,16,16
127,2,7,16,99
128,2,2,2,4
129,1,1,16,4
130,2,1,99,99
131,1,3,16,16
132,1,4,16,4
133,0,7,16,4
134,1,3,16,4
135,1,3,16,16
136,2,1,16,99
137,1,5,16,4
138,2,1,16,2
139,2,1,2,4
140,1,3,16,2
141,1,3,16,4
142,1,6,99,4
143,1,6,16,99
144,2,3,16,4
145,2,2,16,16
146,2,3,16,16
147,2,1,2,99
148,1,3,16,4
149,2,1,99,99
150,1,3,16,4
151,1,1,16,16
152,1,2,2,4
153,1,2,2,4
154,2,2,16,16
155,1,6,2,99
156,1,7,2,16
157,0,0,99,99
158,2,5,16,2
159,2,1,2,2
160,2,1,2,4
161,2,3,16,4
162,1,3,16,16
163,2,1,16,16
164,2,1,99,4
165,2,1,2,16
166,1,4,2,4
167,0,3,16,16
168,2,1,4,16
169,2,4,4,99
170,1,1,2,4
171,1,3,4,4
172,2,1,2,16
173,1,3,2,16
174,1,3,16,16
175,2,1,2,4
176,2,1,16,4
177,0,7,16,4
178,2,1,16,4
179,2,1,4,4
180,1,3,16,16
181,1,2,2,4
182,1,4,2,99
183,2,1,2,4
184,1,6,4,2
185,1,3,16,4
186,1,7,99,16
187,0,0,99,99
188,0,2,2,16
189,2,6,2,4
190,2,3,2,99
191,2,1,16,16
192,1,6,16,4
193,0,0,99,99
194,1,3,16,16
195,2,1,2,4
196,2,6,2,99
197,1,3,2,4
198,1,3,16,16
199,2,1,99,16
200,0,4,4,2
201,1,6,2,99
202,0,0,99,99
203,1,3,16,4
204,1,6,16,4
205,2,3,99,4
206,1,3,16,4
207,1,3,16,4
208,1,2,4,16
209,1,5,4,4
210,1,2,4,4
211,2,1,16,4
212,1,3,2,4
213,2,3,2,4
214,2,1,2,2
215,2,4,4,16
216,2,1,2,16
217,1,3,16,16
218,2,3,16,4
219,1,2,16,16
220,2,3,4,2
221,2,3,16,4
222,1,2,2,4
223,1,6,2,99
224,2,4,4,4
225,0,3,16,16
226,1,1,2,4
227,1,3,16,16
228,2,3,16,16
229,2,7,2,99
230,1,2,2,4
231,1,1,2,4
232,1,2,4,2
233,2,1,16,16
234,2,1,2,4
235,0,0,99,99
236,2,2,2,4
237,1,3,99,4
238,2,2,4,99
239,1,7,16,4
240,1,3,16,4
241,1,6,16,16
242,0,3,4,16
243,2,1,2,4
244,2,3,16,4
245,1,4,16,4
246,1,1,2,4
247,2,3,2,4
248,2,6,2,99
 , , ,,
 ,,,,
 ,,,,
